id,primary,yearpublished,minplayers,maxplayers,playingtime,minage,owned,trading,wanting,wishing,average,bayes_average,users_rated,is_popular
30549,Pandemic,2008,2,4,45,8,168364,2508,625,9344,7.59,7.487,108975,1
822,Carcassonne,2000,2,5,45,7,161299,1716,582,7383,7.42,7.309,108738,1
13,Catan,1995,3,4,120,10,167733,2018,485,5890,7.14,6.97,108024,1
68448,7 Wonders,2010,2,7,30,10,120466,1567,1010,12105,7.74,7.634,89982,1
36218,Dominion,2008,2,4,30,13,106956,2009,655,8621,7.61,7.499,81561,1
9209,Ticket to Ride,2004,2,5,60,8,105748,930,692,6620,7.41,7.305,76171,1
178900,Codenames,2015,2,8,15,14,119753,1110,340,5764,7.6,7.508,74419,1
167791,Terraforming Mars,2016,1,5,120,12,101872,538,2011,19227,8.42,8.274,74216,1
173346,7 Wonders Duel,2015,2,2,30,10,111275,683,924,8836,8.11,7.984,69472,1
31260,Agricola,2007,1,5,150,12,78591,1300,1150,11122,7.93,7.809,66093,1
3076,Puerto Rico,2002,3,5,150,12,76019,1374,983,9383,7.97,7.838,65443,1
148228,Splendor,2014,2,4,30,10,92366,851,786,8337,7.44,7.324,64698,1
169786,Scythe,2016,1,5,115,14,86371,623,1896,19325,8.22,8.064,64569,1
40692,Small World,2009,2,5,80,8,86452,2085,931,9486,7.25,7.153,64559,1
14996,Ticket to Ride: Europe,2005,2,5,60,8,92203,709,692,5937,7.54,7.424,63264,1
230802,Azul,2017,2,4,45,8,95533,518,1064,10896,7.8,7.686,62802,1
70323,King of Tokyo,2011,2,6,30,8,88090,1345,688,6990,7.17,7.073,61099,1
129622,Love Letter,2012,2,4,20,10,98395,1196,257,3649,7.23,7.141,59467,1
2651,Power Grid,2004,2,6,120,12,70142,991,1376,10619,7.84,7.738,58602,1
266192,Wingspan,2019,1,5,70,10,83920,310,1530,14211,8.1,7.944,56079,1
39856,Dixit,2008,3,6,30,8,76535,933,437,5606,7.24,7.133,54497,1
163412,Patchwork,2014,2,2,30,8,78730,500,791,7041,7.64,7.535,52190,1
84876,The Castles of Burgundy,2011,2,4,90,12,67282,737,1137,10205,8.13,8.008,50549,1
478,Citadels,2000,2,8,60,10,67271,1543,336,3249,7.08,6.97,50181,1
28143,Race for the Galaxy,2007,2,4,60,12,59758,1108,1118,9374,7.76,7.651,48906,1
110327,Lords of Waterdeep,2012,2,5,120,12,60079,644,1237,9586,7.75,7.619,48655,1
174430,Gloomhaven,2017,1,4,120,14,77758,648,1346,17658,8.74,8.511,47827,1
34635,Stone Age,2008,2,4,90,10,50290,530,1585,9976,7.55,7.44,47245,1
161936,Pandemic Legacy: Season 1,2015,2,4,60,13,70830,327,831,11729,8.59,8.442,45041,1
65244,Forbidden Island,2010,2,4,30,10,77814,2112,238,4035,6.78,6.688,44513,1
1927,Munchkin,2001,3,6,120,10,78849,2506,128,1799,5.89,5.717,43750,0
12333,Twilight Struggle,2005,2,2,180,13,59604,919,1334,10933,8.28,8.113,43052,1
120677,Terra Mystica,2012,2,5,150,12,45604,622,1682,12929,8.12,7.966,41806,1
98778,Hanabi,2010,2,5,25,8,68643,1379,283,3527,7.07,6.975,41572,1
150376,Dead of Winter: A Crossroads Game,2014,2,5,120,13,56649,1331,803,8852,7.54,7.392,41398,1
54043,Jaipur,2009,2,2,30,12,61710,459,896,6493,7.5,7.391,41188,1
11,Bohnanza,1997,2,7,45,13,60282,1025,366,2712,7.04,6.935,40098,1
10547,Betrayal at House on the Hill,2004,3,6,60,12,64751,1349,513,6125,7.06,6.848,39644,1
50,Lost Cities,1999,2,2,30,10,55282,936,511,4570,7.19,7.091,39514,1
131357,Coup,2012,2,6,15,13,64873,1237,238,3338,7.0,6.87,38741,1
147020,Star Realms,2014,2,2,20,12,56427,781,316,3921,7.58,7.441,38561,1
133473,Sushi Go!,2013,2,5,15,8,65495,964,171,2330,7.04,6.929,38011,1
70919,Takenoko,2011,2,4,45,8,58295,674,796,7119,7.26,7.131,37998,1
170216,Blood Rage,2015,2,4,90,14,45286,336,1550,11392,7.99,7.818,37561,1
15987,Arkham Horror,2005,1,8,240,14,49815,1623,451,4850,7.25,7.051,37547,1
41114,The Resistance,2009,5,10,30,13,57974,1515,262,3638,7.27,7.134,37359,1
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,14,58160,1210,1335,11522,7.82,7.649,37098,1
204583,Kingdomino,2016,2,4,15,8,61775,735,381,3788,7.35,7.228,36921,1
181304,Mysterium,2015,2,7,42,10,55040,847,639,7023,7.28,7.146,35241,1
183394,Viticulture Essential Edition,2015,1,6,90,13,47547,263,1532,10102,8.06,7.895,34760,1
157354,Five Tribes,2014,2,4,80,13,45028,423,1369,9985,7.78,7.631,34577,1
463,Magic: The Gathering,1993,2,2,20,13,37698,833,222,681,7.54,7.37,34393,1
37111,Battlestar Galactica: The Board Game,2008,3,6,180,14,36726,725,830,6244,7.74,7.565,33961,1
126163,Tzolk'in: The Mayan Calendar,2012,2,4,90,13,38749,308,1453,8303,7.89,7.741,33207,1
205637,Arkham Horror: The Card Game,2016,1,2,120,14,59731,806,780,8566,8.16,7.927,33046,1
193738,Great Western Trail,2016,2,4,150,12,39730,361,1568,10618,8.29,8.123,32960,1
162886,Spirit Island,2017,1,4,120,13,47538,353,1929,16125,8.36,8.133,32199,1
201808,Clank!: A Deck-Building Adventure,2016,2,4,60,12,42118,364,1217,9444,7.82,7.648,31984,1
2655,Hive,2000,2,2,20,9,42228,559,610,4876,7.32,7.188,31719,1
181,Risk,1959,2,6,120,10,50362,1061,34,615,5.59,5.462,31717,0
237182,Root,2018,2,4,90,10,48756,300,1690,14729,8.1,7.885,31553,1
124361,Concordia,2013,2,5,100,13,36532,246,1629,9250,8.12,7.966,31519,1
194655,Santorini,2016,2,4,20,8,51083,846,643,7194,7.44,7.297,31502,1
146021,Eldritch Horror,2013,1,8,240,14,46708,710,728,7886,7.78,7.551,31482,1
157969,Sheriff of Nottingham,2014,3,5,60,14,47520,1039,584,6009,7.12,6.999,31463,1
40834,Dominion: Intrigue,2009,2,6,30,13,45243,614,438,3081,7.71,7.554,31220,1
31481,Galaxy Trucker,2007,2,4,60,10,34506,710,1131,6575,7.39,7.267,30960,1
171,Chess,1475,2,2,0,6,43531,192,30,334,7.15,6.968,30810,1
1406,Monopoly,1933,2,8,180,8,43316,521,34,400,4.37,4.304,30803,0
199561,Sagrada,2017,1,4,45,14,47581,444,849,6425,7.51,7.365,30298,1
103343,A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,14,41349,1158,506,5106,7.58,7.373,30262,1
6249,Alhambra,2003,2,6,60,8,36994,850,487,3614,7.03,6.916,30156,1
102794,Caverna: The Cave Farmers,2013,1,7,210,12,37795,472,1739,10738,8.0,7.826,29788,1
244521,The Quacks of Quedlinburg,2018,2,4,45,10,45597,178,1337,8482,7.85,7.678,29635,1
96848,Mage Knight Board Game,2011,1,4,240,14,41236,966,1202,10963,8.1,7.88,29404,1
199792,Everdell,2018,1,4,80,13,44349,248,1493,13920,8.1,7.874,28986,1
39463,Cosmic Encounter,2008,3,5,120,12,35836,688,1154,8226,7.54,7.367,28826,1
128882,The Resistance: Avalon,2012,5,10,30,13,41014,684,308,3978,7.56,7.385,28808,1
205059,Mansions of Madness: Second Edition,2016,1,5,180,14,44483,404,1157,10923,8.02,7.785,28516,1
143884,Machi Koro,2012,2,4,30,10,45010,1283,271,2898,6.62,6.518,28404,1
